ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask,thin_book_reason,thin_book_threshold_depth_usd,thin_book_threshold_qty,thin_book_spread_bps,thin_book_observed_spread_bps,thin_book_observed_depth_usd,thin_book_observed_depth_qty
1768062976335,v1.2,KXBTC2026200-27JAN01-200000,1768062976335,0,UNKNOWN,UNKNOWN,,KALSHI,KXBTC2026200-27JAN01-200000,,False,RESOLUTION_UNKNOWN,0,13,14,86,87,True,,0,,,,,,,,0.0,0.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=13 no_levels=36 BOOK_SHA1:08d484022d,"[""BOOK_SANITY: yes_levels=13 no_levels=36 BOOK_SHA1:08d484022d""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768062976335,v1.2,KXBTC2026200-27JAN01-200000,1768062976335,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,616,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540311337735742,-0.07459688662264259,0.0217414901663876,217.414901663876,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,WARMUP,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883334690975762,0.06540311337735742,0.06833148631377961,0.957144603543745,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062977778,v1.2,KXBTC2026200-27JAN01-200000,1768062977778,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1219,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540311059730534,-0.07459688940269467,0.021741494915923587,217.41494915923587,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=?,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883334922026081,0.06540311059730534,0.06833148326864952,0.9571446055132289,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062978977,v1.2,KXBTC2026200-27JAN01-200000,1768062978977,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1415,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540310828733821,-0.0745968917126618,0.021741498862350328,217.4149886235033,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883335114007612,0.06540310828733821,0.06833148073842699,0.9571446071496885,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062980164,v1.2,KXBTC2026200-27JAN01-200000,1768062980164,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,2613,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540310600048992,-0.0745968939995101,0.021741502769279886,217.41502769279884,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883335304067742,0.06540310600048992,0.0683314782335277,0.9571446087697698,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062981349,v1.2,KXBTC2026200-27JAN01-200000,1768062981349,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1761,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540310371749473,-0.07459689628250528,0.02174150666962682,217.4150666962682,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883335493807646,0.06540310371749473,0.06833147573284892,0.9571446103871215,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062982551,v1.2,KXBTC2026200-27JAN01-200000,1768062982551,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,374,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540310140174757,-0.07459689859825244,0.021741510625928107,217.41510625928106,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.488333568626957,0.06540310140174757,0.06833147319629529,0.9571446120276756,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062983733,v1.2,KXBTC2026200-27JAN01-200000,1768062983733,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,721,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540309912453189,-0.07459690087546812,0.02174151451640083,217.4151451640083,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883335875529144,0.06540309912453189,0.06833147070194712,0.9571446136409327,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062984929,v1.2,KXBTC2026200-27JAN01-200000,1768062984929,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,934,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540309682034395,-0.07459690317965606,0.0217415184529538,217.415184529538,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883336067030393,0.06540309682034395,0.06833146817805491,0.9571446152732977,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062986105,v1.2,KXBTC2026200-27JAN01-200000,1768062986105,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1555,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540309455468755,-0.07459690544531246,0.02174152232367821,217.41522323678208,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.488333625532928,0.06540309455468755,0.06833146569636822,0.9571446168783657,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062987347,v1.2,KXBTC2026200-27JAN01-200000,1768062987347,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,736,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540309216187681,-0.0745969078381232,0.02174152641163729,217.4152641163729,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883336454195986,0.06540309216187681,0.06833146307540305,0.9571446185735141,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062988558,v1.2,KXBTC2026200-27JAN01-200000,1768062988558,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1156,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540308982878991,-0.0745969101712101,0.021741530397561992,217.41530397561993,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.488333664809904,0.06540308982878991,0.06833146051985639,0.9571446202263519,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062989754,v1.2,KXBTC2026200-27JAN01-200000,1768062989754,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1588,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540308752460162,-0.07459691247539839,0.021741534334115298,217.41534334115298,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883336839600334,0.06540308752460162,0.06833145799596385,0.957144621858717,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062990943,v1.2,KXBTC2026200-27JAN01-200000,1768062990943,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1417,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540308523389919,-0.07459691476610082,0.021741538247628922,217.4153824762892,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883337029980817,0.06540308523389919,0.06833145548684305,0.9571446234815281,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062992170,v1.2,KXBTC2026200-27JAN01-200000,1768062992170,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,896,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540308286998674,-0.07459691713001328,0.02174154228621683,217.4154228621683,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883337226445803,0.06540308286998674,0.06833145289753167,0.9571446251562036,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062993343,v1.2,KXBTC2026200-27JAN01-200000,1768062993343,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,711,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540308061010942,-0.07459691938989059,0.02174154614706758,217.4154614706758,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.488333741426442,0.06540308061010942,0.0683314504221752,0.957144626757177,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062994515,v1.2,KXBTC2026200-27JAN01-200000,1768062994515,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1901,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540307835215856,-0.07459692164784146,0.021741550004627075,217.41550004627075,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.488333760192293,0.06540307835215856,0.06833144794892886,0.9571446283567856,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062995712,v1.2,KXBTC2026200-27JAN01-200000,1768062995712,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,3142,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.0654030760460432,-0.07459692395395681,0.021741553944472303,217.41553944472304,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883337793584408,0.0654030760460432,0.06833144542292557,0.9571446299905155,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
1768062996945,v1.2,KXBTC2026200-27JAN01-200000,1768062996945,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC2026200-27JAN01-200000,90531.475,True,RESOLUTION_UNKNOWN,1211,0.13,0.14,0.86,0.87,True,,0,0.14,0.87,0.06540307367057079,-0.07459692632942923,0.021741558002809414,217.41558002809413,,740.7407407407413,21073.42,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:244643"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:08d484022d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-1.4883337991010157,0.06540307367057079,0.06833144282095205,0.9571446316733802,PV_DISCOUNTED,4369330.0,2184665.0,0.13,0.14,0.86,0.87,SPREAD_WIDE,10.0,,80.0,115.60693641618506,244642.76999999996,2184665.0
