ts,market_id,now,market_end_ts,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767991385410,540844,1767991385410,1785456000000,BINANCE,BTCUSDT,90181.965,True,,-2353,0.48,0.49,0.51,0.52,True,,-2742,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991389153,540844,1767991389153,1785456000000,BINANCE,BTCUSDT,90182.32,True,,-2138,0.48,0.49,0.51,0.52,True,,-2597,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991392751,540844,1767991392751,1785456000000,BINANCE,BTCUSDT,90176.325,True,,-2146,0.48,0.49,0.51,0.52,True,,-2581,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991396332,540844,1767991396332,1785456000000,BINANCE,BTCUSDT,90164.685,True,,-2102,0.48,0.49,0.51,0.52,True,,-2484,0.49,0.52,,-0.49,0.48,4800.0,,194.17475728155355,,drift_bps=1.9|vol_bps=0.5,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991399827,540844,1767991399827,1785456000000,BINANCE,BTCUSDT,90167.975,True,,-2119,0.48,0.49,0.51,0.52,True,,-2521,0.49,0.52,,-0.49,0.48,4800.0,,194.17475728155355,,drift_bps=1.6|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991403352,540844,1767991403352,1785456000000,BINANCE,BTCUSDT,90173.975,True,,-2121,0.48,0.49,0.51,0.52,True,,-2545,0.49,0.52,0.25,-0.24,0.22999999999999998,2300.0,,194.17475728155355,,drift_bps=0.9|vol_bps=0.7,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991406898,540844,1767991406898,1785456000000,BINANCE,BTCUSDT,90173.975,True,,-2118,0.48,0.49,0.51,0.52,True,,-2535,0.49,0.52,0.4,-0.08999999999999997,0.07999999999999996,799.9999999999995,,194.17475728155355,,drift_bps=0.9|vol_bps=0.7,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991410434,540844,1767991410434,1785456000000,BINANCE,BTCUSDT,90170.005,True,,-2110,0.48,0.49,0.51,0.52,True,,-2530,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,,194.17475728155355,,drift_bps=1.3|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991413964,540844,1767991413964,1785456000000,BINANCE,BTCUSDT,90176.31,True,,-2130,0.48,0.49,0.51,0.52,True,,-2603,0.49,0.52,0.42857142857142855,-0.061428571428571443,0.05142857142857138,514.2857142857138,,194.17475728155355,,drift_bps=0.6|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991417568,540844,1767991417568,1785456000000,BINANCE,BTCUSDT,90176.315,True,,-2147,0.48,0.49,0.51,0.52,True,,-2541,0.49,0.52,0.5,0.010000000000000009,-0.020000000000000018,100.00000000000009,,206.18556701030948,,drift_bps=0.6|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991421110,540844,1767991421110,1785456000000,BINANCE,BTCUSDT,90176.315,True,,-2149,0.48,0.49,0.51,0.52,True,,-2570,0.49,0.52,0.5555555555555556,0.06555555555555559,-0.0755555555555556,655.5555555555559,,206.18556701030948,,drift_bps=0.6|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991424680,540844,1767991424680,1785456000000,BINANCE,BTCUSDT,90179.91500000001,True,,-2115,0.48,0.49,0.51,0.52,True,,-2490,0.49,0.52,0.6,0.10999999999999999,-0.12,1099.9999999999998,,206.18556701030948,,drift_bps=0.2|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991428171,540844,1767991428171,1785456000000,BINANCE,BTCUSDT,90183.37,True,,-2095,0.48,0.49,0.51,0.52,True,,-2492,0.49,0.52,0.6363636363636364,0.14636363636363636,-0.15636363636363637,1463.6363636363635,,206.18556701030948,,drift_bps=0.2|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991431666,540844,1767991431666,1785456000000,BINANCE,BTCUSDT,90197.975,True,,-2180,0.48,0.49,0.51,0.52,True,,-2838,0.49,0.52,0.6666666666666666,0.17666666666666664,-0.18666666666666665,1766.6666666666663,,206.18556701030948,,drift_bps=1.8|vol_bps=0.7,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991435508,540844,1767991435508,1785456000000,BINANCE,BTCUSDT,90197.975,True,,-2116,0.48,0.49,0.51,0.52,True,,-2581,0.49,0.52,0.6923076923076923,0.2023076923076923,-0.2123076923076923,2023.076923076923,,206.18556701030948,,drift_bps=1.8|vol_bps=0.7,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991439090,540844,1767991439090,1785456000000,BINANCE,BTCUSDT,90196.345,True,,-2091,0.48,0.49,0.51,0.52,True,,-2537,0.49,0.52,0.6428571428571429,0.1528571428571429,-0.16285714285714292,1528.5714285714291,,206.18556701030948,,drift_bps=1.6|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
1767991442628,540844,1767991442628,1785456000000,BINANCE,BTCUSDT,90199.38,True,,-2119,0.48,0.49,0.51,0.52,True,,-2528,0.49,0.52,0.6666666666666666,0.17666666666666664,-0.18666666666666665,1766.6666666666663,,206.18556701030948,,drift_bps=1.9|vol_bps=0.6,NO_TRADE:THIN_BOOK,THIN_BOOK,THIN_BOOK,"[""THIN_BOOK""]",0.0000,0.0000,0.0000,0,False,
